taskId,taskDate,roomId,assignedStaffId,startTime,completionTime,taskStatus,priority,remarks
T0010,2026-07-23,305,S004,12:10,12:50,COM,LOW,Completed
T0011,2026-07-24,401,S005,13:00,13:30,COM,MEDIUM,Completed
T0001,2026-08-15,105,S001,13:20,,IPG,HIGH,Guest arriving soon
T0012,2026-07-25,405,S006,13:10,13:50,COM,HIGH,Completed
T0002,2026-08-15,205,S002,13:25,15:09,COM,MEDIUM,Standard cleaning
T0003,2026-08-14,204,S003,10:00,10:45,COM,MEDIUM,Completed
T0013,2026-08-21,402,S004,13:57,13:58,COM,HIGH,done
T0004,2026-08-14,404,S004,10:10,10:55,COM,LOW,Completed
T0014,2026-08-21,401,S003,14:10,,IPG,LOW,
T0005,2026-08-13,202,S005,09:00,09:40,COM,HIGH,Priority turnover
T0015,2026-08-23,301,S004,23:05,,IPG,LOW,clean it
T0016,2026-08-26,202,S002,11:37,,IPG,LOW,done
T0006,2026-08-12,304,S006,09:20,10:05,COM,MEDIUM,Completed
T0007,2026-07-20,103,S001,11:00,11:35,COM,LOW,Completed
T0008,2026-07-21,104,S002,11:10,11:55,COM,MEDIUM,Completed
T0009,2026-07-22,203,S003,12:00,12:40,COM,HIGH,Completed
