roomId,roomType,capacity,roomStatus,confirmationNumber,checkoutTime
101,STD,2,OCC,10000001,2026-08-17T12:00
201,STD,2,LCO,10000003,2026-08-16T18:00
301,STD,2,CLN,,
401,STD,2,CLN,,
102,STD,2,OCC,10000002,2026-08-16T12:00
202,STD,2,CLN,,
302,STD,2,LCO,17356520,2026-08-26T14:00
402,STD,2,INS,,
103,DLX,3,RDY,,
203,DLX,3,RDY,,
303,DLX,3,RDY,,
403,DLX,3,LCO,10000005,2026-08-18T12:00
104,FAM,4,RDY,,
204,FAM,4,INS,,
304,FAM,4,DIR,,
404,STD,2,INS,,
105,STE,4,CLN,,
205,STE,4,OCC,31214511,2026-08-24T18:07
305,DLX,3,RDY,,
405,DLX,3,DIR,,
